id_an,nom,prenom,sexe,num_dep,num_circo,groupe,email1,email2,email3,adresse_tel,sites_web,twitter,url_an,url_nosdeputes
718902,Roussel,Cédric,H,06,3,LREM,cedric.roussel@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",http://cedricroussel.en-marche.fr|https://fr-fr.facebook.com/CRoussel06/|https://twitter.com/CedricRoussel06|https://www.cedricroussel.fr,CedricRoussel06,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718902,https://www.nosdeputes.fr/cedric-roussel
722054,Hai,Nadia,F,78,11,LREM,nadia.hai@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",https://twitter.com/NadiaHai78|https://fr-fr.facebook.com/NadiaHai7811/|http://www.nadiahai.fr|http://www.rem-circo7811.fr,NadiaHai78,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722054,https://www.nosdeputes.fr/nadia-hai
721384,Fontenel-Personne,Pascale,F,72,3,LREM,permanencedeputee7203@gmail.com,pascale.fontenel-personne@assemblee-nationale.fr,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",https://twitter.com/f_personne|https://fr-fr.facebook.com/fontenelpersonne/,f_personne,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721384,https://www.nosdeputes.fr/pascale-fontenel-personne
719372,Kasbarian,Guillaume,H,28,1,LREM,guillaume.kasbarian@en-marche.fr,guillaume.kasbarian@assemblee-nationale.fr,,"Permanence parlementaire 5 Boulevard Maurice Viollette 28000 Chartres|Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",https://fr-fr.facebook.com/kasbarian2017/|https://twitter.com/guillaumekasba|http://www.guillaumekasbarian.fr,guillaumekasba,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719372,https://www.nosdeputes.fr/guillaume-kasbarian
722374,Isaac-Sibille,Cyrille,H,69,12,MODEM,cyrille.isaac-sibille@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",https://twitter.com/Cisaacsibille|http://legislative.isaac-sibille.fr|https://www.instagram.com/CIsaacSibille,Cisaacsibille,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722374,https://www.nosdeputes.fr/cyrille-isaac-sibille
721262,Vuilletet,Guillaume,H,95,2,LREM,guillaume.vuilletet@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|Permanence parlementaire 89 Marcel Perrin 95540 Mery-sur-Oise Téléphone : 01 34 67 74 58",https://fr-fr.facebook.com/guillaume.vuilletet/|https://twitter.com/g_vuilletet|https://www.facebook.com/vuilletet,g_vuilletet,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721262,https://www.nosdeputes.fr/guillaume-vuilletet
609332,Faure,Olivier,H,77,11,SOC,ofaure@assemblee-nationale.fr,olivierfaure.depute77.11e@gmail.com,,Place du Souvenir 77550 Moissy-Cramayel|Assemblée nationale 126 Rue de l'Université 75355 Paris 07 SP,https://fr-fr.facebook.com/olivierfaure77/|http://www.olivierfaure.fr|https://twitter.com/faureolivier,faureolivier,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA609332,https://www.nosdeputes.fr/olivier-faure
721888,Raphan,Pierre-Alain,H,91,10,LREM,pierre-alain.raphan@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",http://www.9110.fr|http://www.raphan2017.fr|https://twitter.com/p_a_raphan,p_a_raphan,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721888,https://www.nosdeputes.fr/pierre-alain-raphan
719318,Anthoine,Emmanuelle,F,26,4,LR,emmanuelle.anthoine@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|56 Avenue Gambetta,Marly B 26100 Romans sur Isère Téléphone : 04 75 48 35 51",http://www.emmanuelle-anthoine.fr|https://fr-fr.facebook.com/emmanuelle.anthoine.1/|https://twitter.com/eanthoine26,eanthoine26,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719318,https://www.nosdeputes.fr/emmanuelle-anthoine
643205,Lang,Anne-Christine,F,75,10,LREM,anne-christine.lang@paris.fr,anne-christine.lang@assemblee-nationale.fr,,Assemblée nationale 126 Rue de l'Université 75355 Paris 07 SP,https://fr-fr.facebook.com/ACLang13/|https://twitter.com/AChristine_Lang|http://www.annechristinelang.fr,AChristine_Lang,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA643205,https://www.nosdeputes.fr/anne-christine-lang
